country,vector
UZB, качественная работа интересы и общество безопасность   creativity self expression good health  good education and environment for my kids  Доход работа Health financial resources to own car personal house travel internationally at least once a year God family peace job           
VCT,   
VEN, Excelente porvenir a los hijos y comodidad felicidad.   Being safe fed and happy      Safety health and Income.       Being able to reach my full potential having freedom felicidad  ser feliz y agradecido con lo que tengo en busca de mejorar cada dia las deficiencias de vivienda seguridad alimentacion. vivir mejor      Time and money to enjoy with my family   mayor felicidad Seguridad Satisfacción Salud Vivienda Ingresos vivienda empleo relaciones interpersonales medio ambiente educación compromiso y resiliencia   Oportunidades para desarrollarse mejor en el día a día y en nuestras metas a largo plazo. Oportunidades satisfaccion paz. Seguridad y educación Mayor seguridadsalud y bienestar económico. Poder vivir libre seguro y que la satisfacción y el bienestar de mi familia sea la remuneración por mi trabajo entrega y dedicación    Una vida mejor es no tener que preocuparme más que por trabajar y aportar a mi familiaby comunidad. Pleno goce de derechos y libertades.   Estar tranquilo  Hapiness   Ingresos Seguridad Salud el equilibrio de las variables   Garantìa de seguridad personal y salud como prioridad con esos elementos lo demàs se consigue   mayor oportunidades de surgir económicamente  Vivir con calidad y disfrutar cada eyapa     Una obra de arte que no permite ensayos libertad y seguridad    Safety Good education Economic stability seguridad trabajo medio ambiente ingresos salud   Doing work to make my environment better while not worrying about threats to my physical and financial safety that are beyond my control.   Contar con Salud Seguridad y Empleo. mas empleo y mas satisfacción de necesidades   Health income and enviroment        vivir sin preocupaciones. no me lo imagino pero quisiera vivirlo.           estudiar trabajar salir a pasarla bien poder comprar lo ultimo en entretenimiento y terminar viviendo bien  Mayor cantidad de empleos menor burocrácia mayor seguridad mayor remuneración    mejor educacion mejor salud mejor transporte publico mejpr seguridad mejor esparcimiento poder planificarme en el tiempo y obtener a traves del trabajo mis bienes muebles ademas de contar con seguridad social politica y económica poder planificarme en el tiempo y obtener a traves del trabajo mis bienes muebles ademas de contar con seguridad social politica y económica   Salud bienestar relaciones    seguridad comunidad medio ambiente educacion ingresos  A better life for me means: personal safety and low inflation better employment opportunities.   Happiness safety and healt  Para compartir con los miembros de la Comisión de Ambiente    To live in a safety place with good health system civic behavior an income to have a no worry living level   House good services security to grow as a professional.      calidaD DE VIDA  Stability progress and access to knowledge.    Educacion seguridad libertad y empleo    tener excelente Educación Salud Seguridad Vivienda Medio ambiente Empleo conpromiso civico y un buen balance de vida-trabajo      CALIDAD DE VIDA OPORTUNIDADES EN EL AMBITO PROFESIONAL Tranquilidad y estabilidad Paz        Great job- stability - healthy - safe places - quality life safety             Very much Tenes una casa digna empleo estable y salud    Empleos bien remunerados y calidad de vida para compartir con mi familia   For me a better life is when you work with an interesting income and the quality of life is excellent. freedom work life balance SAFETY AND FREEDOM     Best possible education safety good healthcare and a high income with good job oportunity safety Oportunidad de crecer para mi familia en todo aspecto como ser humano  Safety+Health+Job/incomes+Life Satisfaction in a Healthy Environment.        Fuera Maduro.  Seguridad educacion empleo mejor distribución social             Tener seguridad salud estar estable económicamente y estar con mis seres queridos  Safety educatión health jobs income environment community         The freedom to choose     Tener la familia unida  Feliz con salud  seguridad  trabajo buena education y centros de salud . Un Hogar comodo y cultura recreacional  El balance perfecto entre vida trabajo naturaleza.     Seguridad     vivienda modesta. Seguridad a cualquier hora impuesto que se reflejen en bienestar educación de buen nivel A window to see better options for life quality   respeto libertad y equidad  Seguridad         Seguridad altos ingresos empleo salud facilidad para adquirir vivienda buena educación gobierno funcional      mejor vienestar   Human rigths respect Felicidad tranquilidad         Plenitud profesional y personal    Significa seguridad salud y estabilidad. Todo esto define mi satisfaccion personal con el entorno   Plenty of job opportunities lower inflation education free      Seguridad personal jurídica y económica. Comunidades organizadas y educadas. Acceso a la salud y educación.      Vivir en paz estudiando o trabajando preocupados por dar lo mejor de cada uno a su país su familia y a su comunidad  Donde tenga seguridad mis hijos educación buena calidad de vida y salud.           estar bien económicamentevivir en una buena casa tener mi negocio propio    En donde el trabajo sea hacer lo que nos gusta hacer no una obligación con horarios y parametros   Tener educación un hogar y un trabajo. SALUD BALANCE SEGURIDAD Y CONFORT EN UNION DE LA PAREJA Y LA FAMILIA         Family sharing friendship health and being able to produce good and services to people with the capacity of knowing places at least once                          Satisfación. libertad para desplazarme por las calles sin temor en un ambiente limpio     Buena viviendaentornofamiliaseguridadcomidadiversiónsaludeducación Vivir en un lugar seguro tranquilo con libertad y justicia.   Tener cubierta las necesidades básicas salud seguridad educaciòn empleo medio ambiente vivienda   Salud dinero y amor Una Vida Mejor para mi se reduce en las siguientes palabras: Seguridad Calidad de Vida Salud Estabilidad y Solvencia Económica                                                                                          
VGB,          
VIR,Gut      Penis Having more school as well as time to follow hobbies and rest and make friends     Orgies on a Friday night           
VNM, high income job community education environment health       mean everything to me              to live near nature Im happy with myself. Im able to surprise myself with good things. Im able to support my family and loved one. health life satisfaction job life satisfaction health         do my favorite job high income beautiful wife   Good income and job Healthy Safe and a secure future for my children.           #sodexo good life no bad things or unlucky things happen A better life means a life without failure. A better life means a life with good health fresh environment as well as improved education and stable jobs                         I can do whatever i want whenever wherever     Happiness relative material wealth stability.   #OECDdev                       High on education and health but low on civic egagement. High in education and health           Equality              
VUT,   
WLF, goats.guns      
YEM,To be happy and free.   
ZAF,Wealth Lots of stuff     Living in a beautifful environment working for enjoyment and in the company of my wife   The freedom to do what I want to do and when      w fcyubiec Safety and happiness Being with the ones I love in a safe and beautiful environment A society where a better tomorrow is available to all and where your personal contribution is possible and valued     Freedom of choice free from violence life satisfaction     more money more friends more time to things like go on holidays. safety    To end each day feeling Ive left the world a better place   A better mean quality of life Enjoying what I do shelter security job opportunities and access education to reduce inequalities poverty and unemployment.        The right to choose what direction or plan I follow in my life and to fulfill my goals and dreams Peace of mind         Safety employment opportunies and affordable housing.   Humbly and collectively honouring each other and our planet Contentment     Time with my children Enjoying the outdoors getting back to nature helping others Being safe and secure with a good income              To feel like you are alive everyday life shouldnt be a series of repetition a daily smile A growing economy... a balanced ratio between safety housing health worklife balance and overall satisfaction.  Work life balance  education and safety for my child decent housing and healthcare  Safe environment for my wife and children. Healthcare and good shopping.  .    Opportunity to work and for general life experience. To not struggle to support yourself or your family. means everything for a person that lives in a country in fear & poor prospect of the future.        Job and travel opportunity  Everything        A happy healthy and educated daughter who has many opportunities in her future      Safety and security    Butts ponies and more ponies Everything  Security and equality not Affirmitive action to protect the majority at the expense of the minority A better life is one where the gap between the rich and poor is quite low. Income  Balanced life with a good income and enjoyable job.           To live in a safe country where people care for one another and where our children have a future.    Freedom to live life to the fullest    Time with kiddies To have the freedom to not be pressured in your own country to be safe and backing from your government. Safety to enable me to have a job education and freedom to move around.    Education      A stressf-free safe life with freedom  #pwclife #pwclife  #pwclife  #pwclife - A healthy safe environment wherein each is enabled to achieve their full potential                 Decent Employment Basic Income Grant Efficient Public Transport Gauranteed and Justiciable Health and Education and Housing  Rights       A better life to me is one of peace and social security. Knowing my health and children will be taken care of and to be peaceful in my life.   Nature and Peace     Education\nWork Life Balance\nIncome       education and jobs                                     A better life would mean saftey living without fear earning a good income to support myself. It would mean reliable health care and author     Freedom from the ideals of other people / corporations / governments ie. the right to make your own choice. Also sunshine nature good foo                               health security and income                 Great environment and life satisfaction.         To have just enough to survive and occcasionally spoil myself with the time to give to others                                               Freedom from civic interference.            Health Income and Safety                                                      
ZMB, Having a job that secures my needs and a well built Environment.      
ZWE,dank memes  Better life means fresh water. Education. Health care. Safe environment. Social life. Relationships. Jobs with good income. Happiness.  Money and family some pancakes and a new bugatti and i want a 300 pound man as my slave to make my life better #pwclife              
